supplier,month,gpcd,region, production , production2013 ,units,population,percent_residential
East Bay Municipal Utilities District,11/15/2018,66.4,San Francisco Bay,4671.5,5148.6,MG," 1,430,000 ", 61 
East Bay Municipal Utilities District,10/15/2018,75.7,San Francisco Bay,5592.2,6175,MG," 1,430,000 ", 60 
East Bay Municipal Utilities District,9/15/2018,83.5,San Francisco Bay,5870.1,6528.4,MG," 1,430,000 ", 61 
East Bay Municipal Utilities District,8/15/2018,87.5,San Francisco Bay,6361.2,7172.3,MG," 1,430,000 ", 61 
East Bay Municipal Utilities District,7/15/2018,86.3,San Francisco Bay,6377.6,7452.2,MG," 1,430,000 ", 60 
East Bay Municipal Utilities District,6/15/2018,83.4,San Francisco Bay,5866.2,6927.5,MG," 1,430,000 ", 61 
East Bay Municipal Utilities District,5/15/2018,73.3,San Francisco Bay,5416,6716.5,MG," 1,430,000 ", 60 
East Bay Municipal Utilities District,4/15/2018,60.5,San Francisco Bay,4184.9,5417.5,MG," 1,430,000 ", 62 
East Bay Municipal Utilities District,3/15/2018,55.1,San Francisco Bay,4006.8,4927.5,MG," 1,430,000 ", 61 
East Bay Municipal Utilities District,2/15/2018,59.8,San Francisco Bay,3925.5,4016.4,MG," 1,430,000 ", 61 
East Bay Municipal Utilities District,1/15/2018,54.3,San Francisco Bay,3881.1,4099.3,MG," 1,430,000 ", 62 
East Bay Municipal Utilities District,12/15/2017,60.4,San Francisco Bay,4258.3,4772,MG," 1,410,000 ", 62 
East Bay Municipal Utilities District,11/15/2017,61.0,San Francisco Bay,4229.3,5148.6,MG," 1,410,000 ", 61 
East Bay Municipal Utilities District,10/15/2017,78.3,San Francisco Bay,5703.7,6175,MG," 1,410,000 ", 60 
East Bay Municipal Utilities District,9/15/2017,87.1,San Francisco Bay,6039.8,6528.4,MG," 1,410,000 ", 61 
East Bay Municipal Utilities District,8/15/2017,89.9,San Francisco Bay,6444.7,7172.3,MG," 1,410,000 ", 61 
East Bay Municipal Utilities District,7/15/2017,89.7,San Francisco Bay,6531.7,7452.2,MG," 1,410,000 ", 60 
East Bay Municipal Utilities District,6/15/2017,85.8,San Francisco Bay,5952.6,6927.5,MG," 1,410,000 ", 61 
East Bay Municipal Utilities District,5/15/2017,76.2,San Francisco Bay,5551,6716.5,MG," 1,410,000 ", 60 
East Bay Municipal Utilities District,4/15/2017,58.0,San Francisco Bay,3958.1,5417.5,MG," 1,410,000 ", 62 
East Bay Municipal Utilities District,3/15/2017,54.2,San Francisco Bay,3884.1,4927.5,MG," 1,410,000 ", 61 
East Bay Municipal Utilities District,2/15/2017,52.6,San Francisco Bay,3403.3,4016.4,MG," 1,410,000 ", 61 
East Bay Municipal Utilities District,1/15/2017,53.9,San Francisco Bay,3747.1,4099.3,MG," 1,390,000 ", 62 
East Bay Municipal Utilities District,12/15/2016,53.8,San Francisco Bay,3767.4,4772,MG," 1,400,000 ", 62 
East Bay Municipal Utilities District,11/15/2016,55.8,San Francisco Bay,3839.1,5148.6,MG," 1,400,000 ", 61 
East Bay Municipal Utilities District,10/15/2016,64.8,San Francisco Bay,4689.9,6175,MG," 1,400,000 ", 60 
East Bay Municipal Utilities District,9/15/2016,81.9,San Francisco Bay,5636.2,6528.4,MG," 1,400,000 ", 61 
East Bay Municipal Utilities District,8/15/2016,84.4,San Francisco Bay,6007.5,7172.3,MG," 1,400,000 ", 61 
East Bay Municipal Utilities District,7/15/2016,83.7,San Francisco Bay,6056.6,7452.2,MG," 1,400,000 ", 60 
East Bay Municipal Utilities District,6/15/2016,82.4,San Francisco Bay,5675.9,6927.5,MG," 1,400,000 ", 61 
East Bay Municipal Utilities District,5/15/2016,68.6,San Francisco Bay,4959.3,6716.5,MG," 1,400,000 ", 60 
East Bay Municipal Utilities District,4/15/2016,59.3,San Francisco Bay,4018.8,5417.5,MG," 1,400,000 ", 62 
East Bay Municipal Utilities District,3/15/2016,52.9,San Francisco Bay,3765.6,4927.5,MG," 1,400,000 ", 61 
East Bay Municipal Utilities District,2/15/2016,54.5,San Francisco Bay,3625.4,4016.4,MG," 1,400,000 ", 61 
East Bay Municipal Utilities District,1/15/2016,53.4,San Francisco Bay,3736.4,4099.3,MG," 1,400,000 ", 62 
East Bay Municipal Utilities District,12/15/2015,53.4,San Francisco Bay,3713.8,4772,MG," 1,390,000 ", 62 
East Bay Municipal Utilities District,11/15/2015,56.7,San Francisco Bay,3875.9,5148.6,MG," 1,390,000 ", 61 
East Bay Municipal Utilities District,10/15/2015,68.0,San Francisco Bay,4881,6175,MG," 1,390,000 ", 60 
East Bay Municipal Utilities District,9/15/2015,74.0,San Francisco Bay,5060.7,6528.4,MG," 1,390,000 ", 61 
East Bay Municipal Utilities District,8/15/2015,74.3,San Francisco Bay,5250.5,7172.3,MG," 1,390,000 ", 61 
East Bay Municipal Utilities District,7/15/2015,71.7,San Francisco Bay,5148.5,7452.2,MG," 1,390,000 ", 60 
East Bay Municipal Utilities District,6/15/2015,69.9,San Francisco Bay,4778.2,6927.5,MG," 1,390,000 ", 61 
East Bay Municipal Utilities District,5/15/2015,64.9,San Francisco Bay,4657.7,6716.5,MG," 1,390,000 ", 60 
East Bay Municipal Utilities District,4/15/2015,66.3,San Francisco Bay,4456.9,5417.5,MG," 1,390,000 ", 62 
East Bay Municipal Utilities District,3/15/2015,65.8,San Francisco Bay,4650.2,4927.5,MG," 1,390,000 ", 61 
East Bay Municipal Utilities District,2/15/2015,59.0,San Francisco Bay,3765.9,4016.4,MG," 1,390,000 ", 61 
East Bay Municipal Utilities District,1/15/2015,58.9,San Francisco Bay,4096.2,4099.3,MG," 1,390,000 ", 62 
East Bay Municipal Utilities District,12/15/2014,55.7,San Francisco Bay,3839,4772,MG," 1,379,000 ", 62 
East Bay Municipal Utilities District,11/15/2014,61.9,San Francisco Bay,4195.4,5148.6,MG," 1,379,000 ", 61 
East Bay Municipal Utilities District,10/15/2014,75.4,San Francisco Bay,5370.6,6175,MG," 1,379,000 ", 60 
East Bay Municipal Utilities District,9/15/2014,83.8,San Francisco Bay,5682.9,6528.4,MG," 1,379,000 ", 61 
East Bay Municipal Utilities District,8/15/2014,88.8,San Francisco Bay,6222,7172.3,MG," 1,379,000 ", 61 
East Bay Municipal Utilities District,7/15/2014,110.3,San Francisco Bay,6590.1,7452.8,MG," 1,330,000 ", 69 
East Bay Municipal Utilities District,6/15/2014,110.1,San Francisco Bay,6365.4,7025.7,MG," 1,330,000 ", 69 
Morro Bay  City of,11/15/2018,64.1,Central Coast,29599645,33485435,G," 10,503 ", 68 
Morro Bay  City of,10/15/2018,55.6,Central Coast,27369503,37234272,G," 10,503 ", 66 
Morro Bay  City of,9/15/2018,56.0,Central Coast,27169488,36627545,G," 10,503 ", 65 
Morro Bay  City of,8/15/2018,62.6,Central Coast,30419904,40528972,G," 10,503 ", 67 
Morro Bay  City of,7/15/2018,66.6,Central Coast,31771008,42026752,G," 10,503 ", 68 
Morro Bay  City of,6/15/2018,64.9,Central Coast,28408390,36565077,G," 10,284 ", 70 
Morro Bay  City of,5/15/2018,59.8,Central Coast,27097595,36927203,G," 10,284 ", 70 
Morro Bay  City of,4/15/2018,53.6,Central Coast,23529100,28928011,G," 10,284 ", 70 
Morro Bay  City of,3/15/2018,51.9,Central Coast,23617122,31277518,G," 10,284 ", 70 
Morro Bay  City of,2/15/2018,60.8,Central Coast,24648804,25941318,G," 10,284 ", 71 
Morro Bay  City of,1/15/2018,57.4,Central Coast,26018454,30427517,G," 10,284 ", 70 
Morro Bay  City of,12/15/2017,60.4,Central Coast,28257079,33999367,G," 10,284 ", 68 
Morro Bay  City of,11/15/2017,65.1,Central Coast,27459086,33999367,G," 10,284 ", 73 
Morro Bay  City of,10/15/2017,63.4,Central Coast,31108938,37234272,G," 10,284 ", 65 
Morro Bay  City of,9/15/2017,65.2,Central Coast,30489707,36627545,G," 10,284 ", 66 
Morro Bay  City of,8/15/2017,64.6,Central Coast,31917705,40528972,G," 10,284 ", 65 
Morro Bay  City of,7/15/2017,69.7,Central Coast,34161476,42026752,G," 10,284 ", 65 
Morro Bay  City of,6/15/2017,65.3,Central Coast,30551803,36927203,G," 10,284 ", 66 
Morro Bay  City of,5/15/2017,59.9,Central Coast,27673511,36927203,G," 10,284 ", 69 
Morro Bay  City of,4/15/2017,56.9,Central Coast,24978717,28928014,G," 10,284 ", 70 
Morro Bay  City of,3/15/2017,54.2,Central Coast,24189276,31277518,G," 10,284 ", 71 
Morro Bay  City of,2/15/2017,55.4,Central Coast,20460522,25941318,G," 10,284 ", 78 
Morro Bay  City of,1/15/2017,51.1,Central Coast,23003451,30427517,G," 10,284 ", 71 
Morro Bay  City of,12/15/2016,49.3,Central Coast,22579461,33999367,G," 10,284 ", 70 
Morro Bay  City of,11/15/2016,54.9,Central Coast,25063428,33485435,G," 10,284 ", 68 
Morro Bay  City of,10/15/2016,56.5,Central Coast,28539498,37234272,G," 10,608 ", 65 
Morro Bay  City of,9/15/2016,60.7,Central Coast,28777427,36627545,G," 10,284 ", 65 
Morro Bay  City of,8/15/2016,62.6,Central Coast,30608028,40528972,G," 10,284 ", 65 
Morro Bay  City of,7/15/2016,66.6,Central Coast,31975594,42026752,G," 10,284 ", 66 
Morro Bay  City of,6/15/2016,63.4,Central Coast,29421802,36565077,G," 10,284 ", 66 
Morro Bay  City of,5/15/2016,58.2,Central Coast,28468458,33911021,G," 10,284 ", 65 
Morro Bay  City of,4/15/2016,56.1,Central Coast,25679413,28928011,G," 10,284 ", 67 
Morro Bay  City of,3/15/2016,53.8,Central Coast,24876688,31277518,G," 10,284 ", 69 
Morro Bay  City of,2/15/2016,55.6,Central Coast,23427690,25941318,G," 10,284 ", 71 
Morro Bay  City of,1/15/2016,52.2,Central Coast,24343394,30427517,G," 10,284 ", 68 
Morro Bay  City of,12/15/2015,53.3,Central Coast,25226154,33999367,G," 10,234 ", 67 
Morro Bay  City of,11/15/2015,60.7,Central Coast,28815483,33485435,G," 10,234 ", 65 
Morro Bay  City of,10/15/2015,59.3,Central Coast,29133677,37234272,G," 10,234 ", 65 
Morro Bay  City of,9/15/2015,60.7,Central Coast,30354644,36627545,G," 10,234 ", 61 
Morro Bay  City of,8/15/2015,64.2,Central Coast,32579005,40528972,G," 10,234 ", 63 
Morro Bay  City of,7/15/2015,64.5,Central Coast,32318984,42026752,G," 10,234 ", 63 
Morro Bay  City of,6/15/2015,66.1,Central Coast,32189607,36565077,G," 10,234 ", 63 
Morro Bay  City of,5/15/2015,60.3,Central Coast,29893170,36927203,G," 10,234 ", 64 
Morro Bay  City of,4/15/2015,62.8,Central Coast,29362580,28928011,G," 10,234 ", 66 
Morro Bay  City of,3/15/2015,65.0,Central Coast,29893871,31277518,G," 10,234 ", 69 
Morro Bay  City of,2/15/2015,60.2,Central Coast,25004393,25941318,G," 10,234 ", 69 
Morro Bay  City of,1/15/2015,66.2,Central Coast,29586922,30427517,G," 10,234 ", 71 
Morro Bay  City of,12/15/2014,56.5,Central Coast,26365763,33999367,G," 10,234 ", 68 
Morro Bay  City of,11/15/2014,59.1,Central Coast,27062107,33485435,G," 10,234 ", 67 
Morro Bay  City of,10/15/2014,66.7,Central Coast,32547457,37234272,G," 10,234 ", 65 
Morro Bay  City of,9/15/2014,69.5,Central Coast,32804911,36627545,G," 10,234 ", 65 
Morro Bay  City of,8/15/2014,70.4,Central Coast,35695596,40528972,G," 10,461 ", 64 
Morro Bay  City of,7/15/2014,70.1,Central Coast,37625206,42026752,G," 10,608 ", 61 
Morro Bay  City of,6/15/2014,74.6,Central Coast,34544401,36565077,G," 10,234 ", 66 
Yorba Linda Water District,11/15/2018,169.6,South Coast,1555.4,1584.3,AF," 80,067 ", 80 
Yorba Linda Water District,10/15/2018,160.8,South Coast,1782.8,1953.5,AF," 80,067 ", 69 
Yorba Linda Water District,9/15/2018,177.0,South Coast,2010.2,2236.5,AF," 80,067 ", 65 
Yorba Linda Water District,8/15/2018,219.8,South Coast,2283.8,2355.9,AF," 80,067 ", 73 
Yorba Linda Water District,7/15/2018,169.8,South Coast,2277.1,2348.8,AF," 79,354 ", 56 
Yorba Linda Water District,6/15/2018,151.4,South Coast,1923.3,2185,AF," 79,354 ", 58 
Yorba Linda Water District,5/15/2018,182.0,South Coast,1822,2107.4,AF," 79,354 ", 75 
Yorba Linda Water District,4/15/2018,110.9,South Coast,1664.01,1791.2,AF," 79,176 ", 49 
Yorba Linda Water District,3/15/2018,104.7,South Coast,1056.05,1546.1,AF," 79,176 ", 75 
Yorba Linda Water District,2/15/2018,148.1,South Coast,1354.45,1254.9,AF," 79,176 ", 74 
Yorba Linda Water District,1/15/2018,129.1,South Coast,1303.05,1155.6,AF," 79,176 ", 75 
Yorba Linda Water District,12/15/2017,136.8,South Coast,1620.53,1437.7,AF," 79,176 ", 64 
Yorba Linda Water District,11/15/2017,176.3,South Coast,1559.8,1584.3,AF," 79,176 ", 82 
Yorba Linda Water District,10/15/2017,161.7,South Coast,1933.5,1953.5,AF," 79,176 ", 63 
Yorba Linda Water District,9/15/2017,170.6,South Coast,1910.7,2236.5,AF," 79,176 ", 65 
Yorba Linda Water District,8/15/2017,196.8,South Coast,1816.2,2355.9,AF," 71,796 ", 74 
Yorba Linda Water District,7/15/2017,184.0,South Coast,1873.39,2348.8,AF," 79,176 ", 74 
Yorba Linda Water District,6/15/2017,170.4,South Coast,1678.18,2185,AF," 79,176 ", 74 
Yorba Linda Water District,5/15/2017,173.7,South Coast,1603.48,2107.4,AF," 71,796 ", 74 
Yorba Linda Water District,4/15/2017,149.0,South Coast,1467.46,1791.2,AF," 79,176 ", 74 
Yorba Linda Water District,3/15/2017,113.4,South Coast,1154.29,1546.1,AF," 79,176 ", 74 
Yorba Linda Water District,2/15/2017,63.3,South Coast,582.34,1254.9,AF," 79,176 ", 74 
Yorba Linda Water District,1/15/2017,62.2,South Coast,632.64,1155.6,AF," 79,176 ", 74 
Yorba Linda Water District,12/15/2016,125.9,South Coast,1270.85,1437.7,AF," 78,539 ", 74 
Yorba Linda Water District,11/15/2016,130.1,South Coast,1270.85,1584.3,AF," 78,539 ", 74 
Yorba Linda Water District,10/15/2016,144.2,South Coast,1456.45,1953.5,AF," 78,539 ", 74 
Yorba Linda Water District,9/15/2016,168.8,South Coast,1649.09,2236.5,AF," 78,539 ", 74 
Yorba Linda Water District,8/15/2016,194.3,South Coast,1793.74,2355.9,AF," 71,796 ", 74 
Yorba Linda Water District,7/15/2016,169.1,South Coast,1707.64,2348.8,AF," 78,539 ", 74 
Yorba Linda Water District,6/15/2016,149.3,South Coast,1458.72,2185,AF," 78,539 ", 74 
Yorba Linda Water District,5/15/2016,133.5,South Coast,1348.31,2107.4,AF," 78,539 ", 74 
Yorba Linda Water District,4/15/2016,117.3,South Coast,1146.21,1791.2,AF," 78,539 ", 74 
Yorba Linda Water District,3/15/2016,89.4,South Coast,903.03,1546.1,AF," 78,539 ", 74 
Yorba Linda Water District,2/15/2016,102.2,South Coast,964.97,1254.9,AF," 78,539 ", 74 
Yorba Linda Water District,1/15/2016,78.6,South Coast,793.87,1155.6,AF," 78,539 ", 74 
Yorba Linda Water District,12/15/2015,105.5,South Coast,1003.83,1437.7,AF," 73,990 ", 74 
Yorba Linda Water District,11/15/2015,127.5,South Coast,1173.51,1584.3,AF," 73,990 ", 74 
Yorba Linda Water District,10/15/2015,135.7,South Coast,1264.98,1953.5,AF," 72,500 ", 74 
Yorba Linda Water District,9/15/2015,139.6,South Coast,1259.22,2236.5,AF," 72,500 ", 74 
Yorba Linda Water District,8/15/2015,148.1,South Coast,1379.97,2355.9,AF," 72,500 ", 74 
Yorba Linda Water District,7/15/2015,142.7,South Coast,1329.94,2348.8,AF," 72,500 ", 74 
Yorba Linda Water District,6/15/2015,150.5,South Coast,1357.8,2185,AF," 72,500 ", 74 
Yorba Linda Water District,5/15/2015,129.5,South Coast,1223.25,1893.17,AF," 73,500 ", 74 
Yorba Linda Water District,4/15/2015,157.7,South Coast,1422.24,1588.61,AF," 72,500 ", 74 
Yorba Linda Water District,3/15/2015,122.3,South Coast,860.6,882.5,AF," 73,990 ", 100 
Yorba Linda Water District,2/15/2015,150.5,South Coast,1248.1,1254.9,AF," 72,399 ", 75 
Yorba Linda Water District,1/15/2015,142.7,South Coast,1228.3,1155.6,AF," 72,399 ", 80 
Yorba Linda Water District,12/15/2014,95.1,South Coast,862.2,1437.7,AF," 72,399 ", 76 
Yorba Linda Water District,11/15/2014,168.8,South Coast,1520.3,1584.3,AF," 72,399 ", 74 
Yorba Linda Water District,10/15/2014,201.0,South Coast,1922.8,1953.5,AF," 72,399 ", 72 
Yorba Linda Water District,9/15/2014,221.3,South Coast,2077.3,2236.5,AF," 72,399 ", 71 
Yorba Linda Water District,8/15/2014,212.1,South Coast,2227.9,2355.9,AF," 73,990 ", 67 
Yorba Linda Water District,7/15/2014,227.2,South Coast,2352.1,2348.8,AF," 73,990 ", 68 
Yorba Linda Water District,6/15/2014,226.1,South Coast,2298.3,2185,AF," 73,990 ", 67 
Long Beach  City of,11/15/2018,60.2,South Coast,4144,4715,AF," 493,687 ", 66 
Long Beach  City of,10/15/2018,68.1,South Coast,4384,5324,AF," 493,687 ", 73 
Long Beach  City of,9/15/2018,64.3,South Coast,4639,5463,AF," 493,422 ", 63 
Long Beach  City of,8/15/2018,70.4,South Coast,5160,5648,AF," 493,158 ", 64 
Long Beach  City of,7/15/2018,68.8,South Coast,5202,5598,AF," 492,893 ", 62 
Long Beach  City of,6/15/2018,66.5,South Coast,4640,5417,AF," 492,629 ", 65 
Long Beach  City of,5/15/2018,63.5,South Coast,4575,5313,AF," 492,364 ", 65 
Long Beach  City of,4/15/2018,57.1,South Coast,4314,4945,AF," 492,100 ", 60 
Long Beach  City of,3/15/2018,58.3,South Coast,3840,4735,AF," 491,835 ", 71 
Long Beach  City of,2/15/2018,57.5,South Coast,3739,4022,AF," 491,571 ", 65 
Long Beach  City of,1/15/2018,63.1,South Coast,3983,4337,AF," 491,306 ", 74 
Long Beach  City of,12/15/2017,63.0,South Coast,4325,4525,AF," 491,042 ", 68 
Long Beach  City of,11/15/2017,63.0,South Coast,4247,4715,AF," 490,777 ", 67 
Long Beach  City of,10/15/2017,61.9,South Coast,4659,5324,AF," 490,513 ", 62 
Long Beach  City of,9/15/2017,69.4,South Coast,4606,5463,AF," 490,248 ", 68 
Long Beach  City of,8/15/2017,71.5,South Coast,4972,5648,AF," 489,984 ", 67 
Long Beach  City of,7/15/2017,66.4,South Coast,4910,5598,AF," 489,719 ", 63 
Long Beach  City of,6/15/2017,71.6,South Coast,4609,5417,AF," 489,455 ", 70 
Long Beach  City of,5/15/2017,64.9,South Coast,4575,5313,AF," 489,190 ", 66 
Long Beach  City of,4/15/2017,66.4,South Coast,4270,4945,AF," 488,926 ", 70 
Long Beach  City of,3/15/2017,58.6,South Coast,3948,4735,AF," 488,661 ", 69 
Long Beach  City of,2/15/2017,48.5,South Coast,3230,4022,AF," 488,397 ", 63 
Long Beach  City of,1/15/2017,55.0,South Coast,3598,4337,AF," 488,132 ", 71 
Long Beach  City of,12/15/2016,60.8,South Coast,3863,4525,AF," 487,868 ", 73 
Long Beach  City of,11/15/2016,58.8,South Coast,4125,4715,AF," 487,603 ", 64 
Long Beach  City of,10/15/2016,64.1,South Coast,4572,5324,AF," 487,339 ", 65 
Long Beach  City of,9/15/2016,66.5,South Coast,4660,5463,AF," 487,074 ", 64 
Long Beach  City of,8/15/2016,73.1,South Coast,4907,5648,AF," 486,810 ", 69 
Long Beach  City of,7/15/2016,65.7,South Coast,4904,5598,AF," 478,306 ", 61 
Long Beach  City of,6/15/2016,69.3,South Coast,4565,5417,AF," 486,281 ", 68 
Long Beach  City of,5/15/2016,56.3,South Coast,4414,5313,AF," 486,016 ", 59 
Long Beach  City of,4/15/2016,58.1,South Coast,4126,4945,AF," 485,752 ", 63 
Long Beach  City of,3/15/2016,59.6,South Coast,3991,4735,AF," 485,487 ", 69 
Long Beach  City of,2/15/2016,53.4,South Coast,3846,4022,AF," 485,223 ", 60 
Long Beach  City of,1/15/2016,53.9,South Coast,3771,4337,AF," 484,958 ", 66 
Long Beach  City of,12/15/2015,64.6,South Coast,4080,4525,AF," 484,694 ", 73 
Long Beach  City of,11/15/2015,52.3,South Coast,4169,4715,AF," 484,429 ", 56 
Long Beach  City of,10/15/2015,65.8,South Coast,4457,5324,AF," 484,165 ", 68 
Long Beach  City of,9/15/2015,67.8,South Coast,4445,5463,AF," 483,900 ", 68 
Long Beach  City of,8/15/2015,58.6,South Coast,4645,5648,AF," 483,636 ", 58 
Long Beach  City of,7/15/2015,68.1,South Coast,4538,5598,AF," 483,371 ", 69 
Long Beach  City of,6/15/2015,67.8,South Coast,4368,5417,AF," 483,107 ", 69 
Long Beach  City of,5/15/2015,57.7,South Coast,4273,5313,AF," 482,842 ", 62 
Long Beach  City of,4/15/2015,63.8,South Coast,4647,4945,AF," 482,578 ", 61 
Long Beach  City of,3/15/2015,58.3,South Coast,4613,4735,AF," 482,313 ", 58 
Long Beach  City of,2/15/2015,64.2,South Coast,3966,4022,AF," 482,049 ", 67 
Long Beach  City of,1/15/2015,59.4,South Coast,4189,4337,AF," 481,784 ", 65 
Long Beach  City of,12/15/2014,61.9,South Coast,3996,4525,AF," 481,607 ", 71 
Long Beach  City of,11/15/2014,65.6,South Coast,4471,4715,AF," 481,430 ", 65 
Long Beach  City of,10/15/2014,66.0,South Coast,4955,5324,AF," 481,253 ", 61 
Long Beach  City of,9/15/2014,78.5,South Coast,5113,5463,AF," 481,076 ", 68 
Long Beach  City of,8/15/2014,73.6,South Coast,5264,5648,AF," 480,899 ", 64 
Long Beach  City of,7/15/2014,82.0,South Coast,5359,5598,AF," 480,722 ", 70 
Long Beach  City of,6/15/2014,75.1,South Coast,5190,5417,AF," 480,545 ", 64 
"Los Banos, City of",11/15/2018,108.5,San Joaquin River,168912000,180075000,G," 40,986 ", 79 
"Los Banos, City of",10/15/2018,120.8,San Joaquin River,229060000,234625000,G," 40,986 ", 67 
"Los Banos, City of",9/15/2018,140.5,San Joaquin River,265832000,285980000,G," 40,986 ", 65 
"Los Banos, City of",8/15/2018,149.4,San Joaquin River,306207000,324811000,G," 40,986 ", 62 
"Los Banos, City of",7/15/2018,139.2,San Joaquin River,315888000,337551000,G," 40,986 ", 56 
"Los Banos, City of",6/15/2018,131.5,San Joaquin River,288782000,321727000,G," 40,986 ", 56 
"Los Banos, City of",5/15/2018,101.3,San Joaquin River,252428000,300515000,G," 40,986 ", 51 
"Los Banos, City of",4/15/2018,76.8,San Joaquin River,168531000,224680000,G," 40,986 ", 56 
"Los Banos, City of",3/15/2018,66.3,San Joaquin River,126513000,186188000,G," 39,993 ", 65 
"Los Banos, City of",2/15/2018,76.3,San Joaquin River,129407000,123565000,G," 39,993 ", 66 
"Los Banos, City of",1/15/2018,74.1,San Joaquin River,125788000,121426000,G," 39,993 ", 73 
"Los Banos, City of",12/15/2017,78.7,San Joaquin River,141429000,124110000,G," 39,993 ", 69 
"Los Banos, City of",11/15/2017,107.6,San Joaquin River,161346000,180075000,G," 39,993 ", 80 
"Los Banos, City of",10/15/2017,122.5,San Joaquin River,223304000,234625000,G," 39,993 ", 68 
"Los Banos, City of",9/15/2017,150.4,San Joaquin River,257787000,285980000,G," 39,993 ", 70 
"Los Banos, City of",8/15/2017,146.1,San Joaquin River,301932000,324811000,G," 39,993 ", 60 
"Los Banos, City of",7/15/2017,143.5,San Joaquin River,312218000,337551000,G," 39,993 ", 57 
"Los Banos, City of",6/15/2017,133.0,San Joaquin River,275057000,321727000,G," 39,993 ", 58 
"Los Banos, City of",5/15/2017,92.0,San Joaquin River,237551000,300515000,G," 39,993 ", 48 
"Los Banos, City of",4/15/2017,78.9,San Joaquin River,151778000,224680000,G," 37,168 ", 58 
"Los Banos, City of",3/15/2017,61.1,San Joaquin River,135364000,186188000,G," 37,168 ", 52 
"Los Banos, City of",2/15/2017,69.7,San Joaquin River,103673000,123565000,G," 37,168 ", 70 
"Los Banos, City of",1/15/2017,68.2,San Joaquin River,113848000,121426000,G," 37,168 ", 69 
"Los Banos, City of",12/15/2016,72.1,San Joaquin River,120428000,124110000,G," 37,168 ", 69 
"Los Banos, City of",11/15/2016,83.4,San Joaquin River,143138000,180075000,G," 37,168 ", 65 
"Los Banos, City of",10/15/2016,120.0,San Joaquin River,200410000,234625000,G," 37,168 ", 69 
"Los Banos, City of",9/15/2016,142.9,San Joaquin River,230852000,285852000,G," 37,168 ", 69 
"Los Banos, City of",8/15/2016,144.5,San Joaquin River,260144000,324811000,G," 37,168 ", 64 
"Los Banos, City of",7/15/2016,136.9,San Joaquin River,271946000,337551000,G," 37,168 ", 58 
"Los Banos, City of",6/15/2016,123.4,San Joaquin River,237304000,321727000,G," 37,168 ", 58 
"Los Banos, City of",5/15/2016,87.4,San Joaquin River,193619000,300515000,G," 37,168 ", 52 
"Los Banos, City of",4/15/2016,73.9,San Joaquin River,158425000,224680000,G," 37,168 ", 52 
"Los Banos, City of",3/15/2016,62.7,San Joaquin River,118438000,186188000,G," 37,168 ", 61 
"Los Banos, City of",2/15/2016,66.6,San Joaquin River,108753000,123565000,G," 37,168 ", 66 
"Los Banos, City of",1/15/2016,64.4,San Joaquin River,114130000,121426000,G," 37,168 ", 65 
"Los Banos, City of",12/15/2015,67.7,San Joaquin River,119980000,124110000,G," 37,168 ", 65 
"Los Banos, City of",11/15/2015,96.5,San Joaquin River,129662000,180075000,G," 37,168 ", 83 
"Los Banos, City of",10/15/2015,114.7,San Joaquin River,183481000,234625000,G," 37,168 ", 72 
"Los Banos, City of",9/15/2015,134.1,San Joaquin River,216686000,285980000,G," 37,168 ", 69 
"Los Banos, City of",8/15/2015,136.0,San Joaquin River,244793000,324811000,G," 37,168 ", 64 
"Los Banos, City of",7/15/2015,133.4,San Joaquin River,243944000,337551000,G," 37,168 ", 63 
"Los Banos, City of",6/15/2015,127.6,San Joaquin River,237081000,321727000,G," 37,168 ", 60 
"Los Banos, City of",5/15/2015,106.4,San Joaquin River,194652000,300515000,G," 37,168 ", 63 
"Los Banos, City of",4/15/2015,104.1,San Joaquin River,187216000,224680000,G," 37,168 ", 62 
"Los Banos, City of",3/15/2015,69.3,San Joaquin River,166417000,186188000,G," 37,168 ", 48 
"Los Banos, City of",2/15/2015,78.2,San Joaquin River,117939000,123565000,G," 37,168 ", 69 
"Los Banos, City of",1/15/2015,69.5,San Joaquin River,127196000,121426000,G," 37,168 ", 63 
"Los Banos, City of",12/15/2014,75.2,San Joaquin River,127370000,124110000,G," 37,168 ", 68 
"Los Banos, City of",11/15/2014,118.5,San Joaquin River,148411000,180075000,G," 37,168 ", 89 
"Los Banos, City of",10/15/2014,132.5,San Joaquin River,227812000,234625000,G," 37,168 ", 67 
"Los Banos, City of",9/15/2014,158.6,San Joaquin River,252715000,285980000,G," 37,168 ", 70 
"Los Banos, City of",8/15/2014,167.1,San Joaquin River,291669000,324811000,G," 37,168 ", 66 
"Los Banos, City of",7/15/2014,170.1,San Joaquin River,311181000,337551000,G," 37,168 ", 63 
"Los Banos, City of",6/15/2014,170.0,San Joaquin River,300808000,321727000,G," 37,168 ", 63 
Turlock  City of,11/15/2018,106.7,San Joaquin River,463.39,521.89,MG," 72,879 ", 50 
Turlock  City of,10/15/2018,135.2,San Joaquin River,642.03,638.18,MG," 72,879 ", 48 
Turlock  City of,9/15/2018,158.3,San Joaquin River,547.99,745.22,MG," 72,879 ", 63 
Turlock  City of,8/15/2018,168.2,San Joaquin River,704.7,808.81,MG," 72,879 ", 54 
Turlock  City of,7/15/2018,180.6,San Joaquin River,701.87,927.17,MG," 72,879 ", 58 
Turlock  City of,6/15/2018,167.0,San Joaquin River,586.98,748.13,MG," 72,879 ", 62 
